1	TRAN	TRANSCANADA	 	 	1.00	UNITS	0	1	2024-10-27
10	FPLF	FIREPL/2 ST	 	 	1.00	UNITS	5500	1	2024-10-27
10	LNT	LEAN-TO	 	 	200.00	S.F.	900	1	2024-10-27
10	PAD	CONC PAD	 	 	240.00	S.F.	1400	1	2024-10-27
10	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-10-27
10	SPL5	AG POOL RECTANGLE	 	 	360.00	S.F.	6300	1	2024-10-27
10	WDK	WOOD DECK	 	 	192.00	S.F.	2600	1	2024-10-27
100021	BRN8	POLE BRN/RUN N	 	 	288.00	S.F.	3900	1	2024-10-27
100021	GEN1	BACK UP POWER >20KW	 	 	1.00	UNITS	8500	1	2024-10-27
100021	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-10-27
100021	IMP	IMPLEMENT SHED	 	 	420.00	S.F.	4600	1	2024-10-27
100021	SHD1	SHED AVERAGE	 	 	80.00	S.F.	1000	1	2024-10-27
100021	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-10-27
100021	STB6	CSTM STABLE	 	 	1596.00	S.F.	119400	1	2024-10-27
100103	FGR1	GARAGE-AVE	 	 	1200.00	S.F.	23000	1	2024-10-27
100103	FGR5	W/LOFT GOOD	 	 	900.00	S.F.	28100	1	2024-10-27
100122	BN14	BARN/STORAGE	 	 	3360.00	S.F.	32300	1	2024-10-27
100122	BRN3	1 STORY W/LOFT	 	 	1440.00	S.F.	16700	1	2024-10-27
100142	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-10-27
100142	FGR2	GARAGE-GOOD	 	 	288.00	S.F.	10800	1	2024-10-27
100162	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-10-27
100162	FGR2	GARAGE-GOOD	 	 	288.00	S.F.	10800	1	2024-10-27
100163	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-10-27
100163	FGR2	GARAGE-GOOD	 	 	288.00	S.F.	10800	1	2024-10-27
100164	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-10-27
100164	FGR2	GARAGE-GOOD	 	 	288.00	S.F.	10800	1	2024-10-27
100182	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-10-27
100182	FGR2	GARAGE-GOOD	 	 	576.00	S.F.	21500	1	2024-10-27
100184	MSC2	AMENITY	 	 	1.00	UNIT	135000	1	2024-10-27
100243	GEN2	BACK UP POWER <20 KW	 	 	0.00	UNITS	0	1	2024-10-27
100262	BRN4	1 STY LFT&BSMT	 	 	1200.00	S.F.	33600	1	2024-10-27
100262	FGR7	W/LOFT EXCELL	 	 	624.00	S.F.	34800	1	2024-10-27
100262	IMPA	GD IMP SHED	 	 	192.00	S.F.	3100	1	2024-10-27
