1	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-07-15
10	1	1934	2496	283827	83	235600	Cape Cod	Residential	Average +10	2	4	2	0	8	01	4056	2496	2023-08-17
100000	1	2007	2849	814475	93	757500	Modern/Contemp	Residential	Excellent	1.5	4	3	2	11	 	6919	2849	2023-08-17
100021	1	2004	5705	1065284	91	969400	Modern/Contemp	Residential	Excellent	1.75	4	5	1	12	 	7762	5705	2023-08-17
100021	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2023-08-17
100041	1		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2023-08-17
100103	1	1988	1764	264414	69	182400	Cape Cod	Residential	Average +20	1.75	4	3	0	7	01	3304	1764	2023-08-17
100103	2		0	0		0	Vacant Land	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2023-08-17
100122	1	2001	2616	393574	85	334500	Ranch	Residential	Average +20	1	3	2	0	8	01	6760	2616	2023-08-17
100142	1	1985	900	110603	80	88500	Condominium	Res Condo	Average +10	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	900	900	2023-08-17
100162	1	1985	900	110603	80	88500	Condominium	Res Condo	Average +10	1	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	4	MISSING-Num Kitchens:	900	900	2023-08-17
100163	1	1985	1160	153245	80	122600	Condominium	Res Condo	Average +20	1.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	5	MISSING-Num Kitchens:	1160	1160	2023-08-17
100164	1	1985	1150	152494	76	115900	Condominium	Res Condo	Average +20	1.5	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	5	MISSING-Num Kitchens:	1150	1150	2023-08-17
